english,arabic
hello,مرحبا
good morning,صباح الخير
good evening,مساء الخير
how are you,كيف حالك
I am fine,أنا بخير
thank you,شكرا لك
you are welcome,عفوا
goodbye,مع السلامة
yes,نعم
no,لا
I love AI,أنا أحب الذكاء الاصطناعي
machine learning is great,التعلم الآلي رائع
I like sports,أنا أحب الرياضة
I drink water,أنا أشرب الماء
I drink coffee,أنا أشرب القهوة
I eat apples,أنا آكل التفاح
he plays football,هو يلعب كرة القدم
she reads a book,هي تقرأ كتابا
the sun is shining,الشمس مشرقة
the weather is nice,الطقس جميل
what is your name,ما اسمك
my name is Ali,اسمي علي
where do you live,أين تعيش
I live in Egypt,أنا أعيش في مصر
welcome to Egypt,مرحبا بك في مصر
have a nice day,أتمنى لك يوما سعيدا
see you later,أراك لاحقا
peace be upon you,السلام عليكم
cats are cute,القطط لطيفة
dogs are loyal,الكلاب وفية
this is easy,هذا سهل
AI is the future,الذكاء الاصطناعي هو المستقبل
learning is fun,التعلم ممتع
knowledge is power,المعرفة قوة
time is valuable,الوقت ثمين
truth is clear,الحقيقة واضحة
work hard,اعمل بجد
be happy,كن سعيدا
never give up,لا تستسلم أبدا
life is beautiful,الحياة جميلة
